timestamp,steamid,username,cost,gamename
2026-02-12T00:13:27.682Z,1432910,llucholba,28080,Godlike Burger
2026-02-12T14:42:19.107Z,2217580,smogracing,125580,New Star GP
2026-02-13T09:25:51.858Z,1608470,foreeeveeer,34580,Warstride Challenges
2026-02-13T17:25:31.425Z,1714240,alfims,36140,Soul Stalker
2026-02-13T21:56:17.685Z,2243250,darkgammeth,97500,Moonlight Pulse
2026-02-13T23:02:55.541Z,1983260,100bitlive,41080,Dungeons of Hinterberg
2026-02-13T23:23:20.238Z,1983260,100bitlive,41080,Refund dedKey: dungeon of hinterberg
2026-02-14T18:54:47.303Z,1815230,ivanpetrov32,54860,Summum Aeterna
2026-02-14T21:34:58.685Z,GIFT_CARD,rzvlover,130420,Steam Wallet Funds (5CAD)
2026-02-15T00:31:51.099Z,2997260,operacional_cae,36400,SATAN
2026-02-15T03:05:27.845Z,1016800,shadowladyex,83200,Chernobylite Complete Edition
2026-02-15T10:00:20.904Z,2977570,pika_gamy,60320,REVEREND
2026-02-15T15:52:31.326Z,535520,rzvlover,23780,Nidhogg 2
2026-02-15T19:57:41.907Z,1432910,foreeeveeer,29120,Godlike Burger
2026-02-16T03:02:12.022Z,313780,dahhel,56160,Conarium
2026-02-16T20:04:12.802Z,397030,daniempirerevolution,23660,Go! Go! Nippon! 2015
2026-02-17T13:18:49.536Z,1087760,rzvlover,42120,The Gunk
2026-02-17T17:03:18.714Z,1179080,thanossoul,46020,FAITH: The Unholy Trinity
2026-02-18T12:19:58.452Z,2594020,darthnomadkiller,47060,Oxytone
2026-02-18T14:35:36.872Z,1740720,dahhel,99680,Have a Nice Death
2026-02-19T01:50:53.797Z,GIFT_CARD,madagascaradam,130420,Steam Wallet Funds (5CAD)
2026-02-19T04:53:11.096Z,1158940,slay_da_b,59280,Blazing Sails
2026-02-19T13:52:12.177Z,GIFT_CARD,johnnymnemonics,130420,Steam Wallet Funds (5CAD)
2026-02-19T16:04:32.925Z,2062030,operacional_cae,39140,Code Alkonost: Awakening of Evil
2026-02-20T17:58:32.531Z,2632930,exine4595,42120,Life Eater
2026-02-20T18:07:28.561Z,1179080,alfims,41600,FAITH: The Unholy Trinity
2026-02-21T08:14:54.982Z,1338840,alexwifi42,44460,Death in the Water 2
2026-02-21T08:18:44.644Z,1286350,shadowladyex,55600,BPM: BULLETS PER MINUTE
2026-02-21T18:50:54.178Z,3316470,alfims,36400,DEAD TRASH
2026-02-21T23:17:56.716Z,860860,louis_of_apshai,27820,Suicide Guy: Sleepin' Deeply
2026-02-22T00:23:38.604Z,1740720,pika_gamy,102960,Have a Nice Death
2026-02-22T06:41:13.505Z,2632930,alfims,30000,Life Eater
2026-02-22T08:37:45.593Z,1796220,ivanpetrov32,92560,Laika: Aged Through Blood
2026-02-23T17:11:05.898Z,3499550,ragnar175,40560,Mai: Child of Ages
2026-02-23T17:25:10.614Z,1588910,daniempirerevolution,9800,Peppy's Adventure
2026-02-24T10:32:00.735Z,3145620,rzvlover,43940,Without a Dawn
2026-02-24T13:09:46.212Z,723100,daniempirerevolution,9580,Orbital Racer
2026-02-25T01:18:54.972Z,2869860,avin_novor,141440,Monster Prom 4: Monster Con
2026-02-25T04:58:09.756Z,3145620,alfims,38160,Without a Dawn
2026-02-25T09:54:11.509Z,1667400,foreeeveeer,25360,Cute Cats
2026-02-25T12:13:56.534Z,323850,slay_da_b,52000,Move or Die
2026-02-25T14:22:23.011Z,1082710,alphonsoe,98380,Bug Fables: The Everlasting Sapling
2026-02-25T21:55:58.127Z,1717640,cerebralx1,66300,Mahokenshi - The Samurai Deckbuilder
2026-02-26T21:35:16.835Z,1850740,pika_gamy,83460,Ghost Watchers
2026-02-27T03:53:08.198Z,2813110,madagascaradam,110760,Dead Island 2 - Expansion Pass
2026-02-27T15:19:32.942Z,1588910,daniempirerevolution,7800,Peppy's Adventure
2026-02-27T17:36:04.706Z,1602080,exine4595,59800,Soulstice
2026-02-27T23:05:19.608Z,992730,thanossoul,108420,Neckbreak
2026-02-28T01:16:59.007Z,1370140,valase,105560,Kao the Kangaroo
2026-02-28T01:37:59.698Z,3499550,darkgammeth,83980,Mai: Child of Ages
2026-02-28T02:11:12.886Z,1766740,madagascaradam,59760,Choo-Choo Charles
2026-02-28T17:13:50.212Z,1169740,foreeeveeer,33540,Danger Scavenger
2026-03-01T04:57:30.329Z,2020710,exine4595,26000,Havendock
