# data/newsnode-reactions.2026-06.txt
# discordMsgId,username,emojiInApp,cubes

1516119489857585172,ivanpetrov32,👀,250
1516119489857585172,operacional_cae,👀,250
1516119489857585172,dahhel,cube-love,250
1516119489857585172,avin_novor,❤️,250
1516119489857585172,madagascaradam,cube-gg,250
1516119489857585172,mori2323,👀,250
1516119489857585172,darkranx,cube-gg,250
1516119489857585172,valase,🎆,250
1516119489857585172,somemarblesfriday,👀,250
1516119489857585172,snoopys030,👀,250
1516119489857585172,ikaliayev,🤔,250
1516119489857585172,wolfmaron999,cube-gg,1
1516119489857585172,silent_luc,cube-gg,250
1516119489857585172,slay_da_b,cube-gg,250
1516119489857585172,sasha5889,❤️,250
1516119489857585172,smogracing,👀,187
1516119489857585172,cerebralx1,❤️,187
1516119489857585172,llucholba,cube-gg,187
1516119489857585172,louis_of_apshai,cube-gg,140
1516119489857585172,lovegamesandthings00000,cube-gg,140
1519746245013409793,100bitlive,👀,250
1519746245013409793,lovegamesandthings00000,cube-gg,250
1519746245013409793,player0451,👀,250
1519746245013409793,ikaliayev,😅,250
1519746245013409793,shadowladyex,cube-cool,250
1519746245013409793,aswd002,👀,250
1519746245013409793,cerebralx1,😅,250
1519746245013409793,lillakra,👀,250
1519746245013409793,johnnymnemonics,👀,250
1519746245013409793,operacional_cae,👀,250
1519746245013409793,dahhel,cube-love,250
1519746245013409793,doubledwonders,👀,250
1519746245013409793,ivanpetrov32,👀,250
1519746245013409793,alexwifi42,🫡,250
1519746245013409793,slay_da_b,👀,250
1519746245013409793,alburldador,👀,250
1519746245013409793,valase,⛓️‍💥,250
