sessionId,appId,gameName,sessionStart,sessionEnd,videoId,unlockEpoch,achievementApiName,displayName,rarity,zCubes
f80cf37603aa,2349350,Knockout 2: Wrath of the Karen,2026-04-10T00:57:32.678Z,2026-04-10T06:57:32.678Z,F4p9xFXIrts,2026-04-10T02:32:43.000Z,ko2_achievement_7,Red Flash is Bad Flash,55.8,44
f80cf37603aa,2349350,Knockout 2: Wrath of the Karen,2026-04-10T00:57:32.678Z,2026-04-10T06:57:32.678Z,F4p9xFXIrts,2026-04-10T02:43:29.000Z,ko2_achievement_29,Prenuptial Punches,19.8,80
ede784f1d76b,268910,Cuphead,2026-04-11T16:02:08.901Z,2026-04-11T17:43:17.821Z,y2uIwatUxbc,2026-04-11T16:49:05.000Z,NoHitsTaken,Perfect Run,45.7,54
ee8510ec5427,3835650,Cleaning Up!,2026-04-11T18:26:41.270Z,2026-04-12T00:26:41.270Z,YM9Wr8DMK_U,2026-04-11T18:26:50.000Z,StartGame,Beginning,100,0
ee8510ec5427,3835650,Cleaning Up!,2026-04-11T18:26:41.270Z,2026-04-12T00:26:41.270Z,YM9Wr8DMK_U,2026-04-11T18:40:29.000Z,BeatApartment01,Complete Apartment Level,95.1,5
ee8510ec5427,3835650,Cleaning Up!,2026-04-11T18:26:41.270Z,2026-04-12T00:26:41.270Z,YM9Wr8DMK_U,2026-04-11T18:46:00.000Z,BeatCastle,Complete Castle Level,91.5,9
ee8510ec5427,3835650,Cleaning Up!,2026-04-11T18:26:41.270Z,2026-04-12T00:26:41.270Z,YM9Wr8DMK_U,2026-04-11T18:52:02.000Z,BeatMuseum,Complete Museum Level,85.2,15
ee8510ec5427,3835650,Cleaning Up!,2026-04-11T18:26:41.270Z,2026-04-12T00:26:41.270Z,YM9Wr8DMK_U,2026-04-11T18:56:49.000Z,BeatStreets,Complete Streets Level,81.2,19
dfaa4f59d4fa,3986690,Ariana and the Elder Codex,2026-04-11T23:17:41.341Z,2026-04-12T05:17:41.341Z,,2026-04-11T23:29:15.000Z,LIB_ACH_001,Beginning of Repairs,93.5,7
dfaa4f59d4fa,3986690,Ariana and the Elder Codex,2026-04-11T23:17:41.341Z,2026-04-12T05:17:41.341Z,,2026-04-11T23:29:17.000Z,LIB_ACH_010,Swift Work,92.8,7
dfaa4f59d4fa,3986690,Ariana and the Elder Codex,2026-04-11T23:17:41.341Z,2026-04-12T05:17:41.341Z,,2026-04-12T00:03:57.000Z,LIB_ACH_034,Wisdom of Ancestors,75.6,24
dfaa4f59d4fa,3986690,Ariana and the Elder Codex,2026-04-11T23:17:41.341Z,2026-04-12T05:17:41.341Z,,2026-04-12T00:19:15.000Z,LIB_ACH_022,Small Achievement,67,33
dfaa4f59d4fa,3986690,Ariana and the Elder Codex,2026-04-11T23:17:41.341Z,2026-04-12T05:17:41.341Z,,2026-04-12T00:19:38.000Z,LIB_ACH_002,Water Element Revival,76.5,24
b75a7411753a,2425130,Hacked: The Streamer,2026-04-12T02:00:19.464Z,2026-04-12T02:22:25.256Z,,2026-04-12T02:18:13.000Z,achv_1,"Sure, Salvador Dalí",51,49
